id,Mode,Prompt,Reference,Local_Output,Local_Score,Local_Reason,Cloud_Output,Cloud_Score,Cloud_Reason
CMMLU_LITE_Business_Ethics_1,📚 学科综合,"[任务] 请作为相关领域的专家，回答以下单项选择题。

[题目]
企业价值观的中心内容是

[选项]
A. 企业伦理观
B. 道德伦理观
C. 道德善恶观
D. 企业人文观

[要求] 仅输出正确选项的字母（如 A、B、C 或 D），不需要解释。",Correct Option: A,"<think>
A",10,正确 (A),A,10,正确 (A)
CMMLU_LITE_Business_Ethics_2,📚 学科综合,"[任务] 请作为相关领域的专家，回答以下单项选择题。

[题目]
市场经济按其发展程度高低经历了实物交换关系、货币交换 关系和（）三种形态

[选项]
A. 商业交换关系
B. 信贷交换关系
C. 信用交换关系
D. 纸币交换关系

[要求] 仅输出正确选项的字母（如 A、B、C 或 D），不需要解释。",Correct Option: C,"<think>
C",10,正确 (C),C,10,正确 (C)
CMMLU_LITE_Business_Ethics_0,📚 学科综合,"[任务] 请作为相关领域的专家，回答以下单项选择题。

[题目]
保护产权的途径（）a国家政治；b国家法律；c道德观念；d遵纪守法的广泛宣传

[选项]
A. ab
B. abcd
C. abc
D. bcd

[要求] 仅输出正确选项的字母（如 A、B、C 或 D），不需要解释。",Correct Option: B,"<think>
",0,"无法提取选项 (Raw: <think>
...)",B,10,正确 (B)
CMMLU_LITE_Business_Ethics_3,📚 学科综合,"[任务] 请作为相关领域的专家，回答以下单项选择题。

[题目]
资本主义契约制度的典型特征是

[选项]
A. 国家对契约严加干预
B. 实行契约自由原则
C. 对违约者的惩罚极其严格，甚至施以刑罚
D. 注重形式，程序繁琐

[要求] 仅输出正确选项的字母（如 A、B、C 或 D），不需要解释。",Correct Option: B,"<think>
B",10,正确 (B),B,10,正确 (B)
CMMLU_LITE_Business_Ethics_4,📚 学科综合,"[任务] 请作为相关领域的专家，回答以下单项选择题。

[题目]
在商业行为过程中，从动机到效果，表现为两者的

[选项]
A. 一致性
B. 不一定一致
C. 其他
D. 非一致性

[要求] 仅输出正确选项的字母（如 A、B、C 或 D），不需要解释。",Correct Option: B,"<think>
B",10,正确 (B),B,10,正确 (B)
CMMLU_LITE_Business_Ethics_5,📚 学科综合,"[任务] 请作为相关领域的专家，回答以下单项选择题。

[题目]
一定社会的伦理受制于一定社会的（）和经济关系

[选项]
A. 所有制形式
B. 道德形式
C. 财产权形式
D. 法律形式

[要求] 仅输出正确选项的字母（如 A、B、C 或 D），不需要解释。",Correct Option: A,"<think>
A",10,正确 (A),A,10,正确 (A)
CMMLU_LITE_Business_Ethics_7,📚 学科综合,"[任务] 请作为相关领域的专家，回答以下单项选择题。

[题目]
2016年，年仅22岁的魏则西因癌症去世。他此前曾相信百度上关于“免疫治疗法”癌症治愈率高达90%的广告，花了高昂医药费用却毫无效果。该事件体现了企业违反了营销的道德的

[选项]
A. 不欺负弱小、不强买强卖
B. 不搞恶俗、弘扬正能量
C. 不投机取巧、故意混淆
D. 不虚假、夸大宣传

[要求] 仅输出正确选项的字母（如 A、B、C 或 D），不需要解释。",Correct Option: D,"<think>
D",10,正确 (D),D,10,正确 (D)
CMMLU_LITE_Business_Ethics_6,📚 学科综合,"[任务] 请作为相关领域的专家，回答以下单项选择题。

[题目]
发挥制度规则外在机制和()的作用是实现公正合理的经济伦理秩序的两个缺一不可的途径

[选项]
A. 政治权利平等
B. 道德内在机制
C. 制度法律
D. 社会公正秩序

[要求] 仅输出正确选项的字母（如 A、B、C 或 D），不需要解释。",Correct Option: B,"<think>
B",10,正确 (B),B,10,正确 (B)
CMMLU_LITE_Business_Ethics_9,📚 学科综合,"[任务] 请作为相关领域的专家，回答以下单项选择题。

[题目]
下列行为属于会计活动中不道德行为的是（）a做假帐；b软敲诈；c杠杆收购；d不道德的融资；e不道德投资

[选项]
A. a
B. abcde
C. abc
D. ab

[要求] 仅输出正确选项的字母（如 A、B、C 或 D），不需要解释。",Correct Option: A,"<think>
A",10,正确 (A),B,0,"错误 (预期A, 实B)"
CMMLU_LITE_Business_Ethics_8,📚 学科综合,"[任务] 请作为相关领域的专家，回答以下单项选择题。

[题目]
整合同化理论指明，跨国公司的管理应该具有发展性和

[选项]
A. 全局性
B. 人文性
C. 上升性
D. 稳定性

[要求] 仅输出正确选项的字母（如 A、B、C 或 D），不需要解释。",Correct Option: D,"<think>
A",0,"错误 (预期D, 实A)",A,0,"错误 (预期D, 实A)"
CMMLU_LITE_Accounting_0,📚 学科综合,"[任务] 请作为相关领域的专家，回答以下单项选择题。

[题目]
下列会计凭证中，属于原始凭证的是

[选项]
A. 收款凭证
B. 银行存款余额调节表
C. 收料单
D. 科目汇总表

[要求] 仅输出正确选项的字母（如 A、B、C 或 D），不需要解释。",Correct Option: C,"<think>
C",10,正确 (C),C,10,正确 (C)
CMMLU_LITE_Accounting_1,📚 学科综合,"[任务] 请作为相关领域的专家，回答以下单项选择题。

[题目]
对银行存款进行清查时，应在查明未达账项的基础上编制

[选项]
A. 银行存款试算平衡表
B. 银行存款余额调节表
C. 银行存款盘点报告表
D. 银行存款实存账存对比表

[要求] 仅输出正确选项的字母（如 A、B、C 或 D），不需要解释。",Correct Option: B,"<think>
B",10,正确 (B),B,10,正确 (B)
